"sku1","Peanut butter"
"sku2","Jelly"
"sku3","Bread"
"sku4","Milk"
"sku5","Aged prunes"
"sku6","All natural Bread"
"sku7","Almond Nuts"
"sku8","Apple"
"sku9","Banana"
"sku10","Black Chocolate Milk"
"sku11","Blackberry"
"sku12","Blue berries"
"sku13","Blue Juice"
"sku14","Boone Farms Eggs"
"sku15","Breakstone 2% Milk Cottage Cheese"
"sku16","Breakstone Whole Milk Cottage Cheese"
"sku17","Brocolli Slaw"
"sku18","California navels"
"sku19","Charlotte Water"
"sku20","Chateau Potomac Water"
"sku21","cherry"
"sku22","Corn"
"sku23","Cranberry"
"sku24","Dole pineapple"
"sku25","Grapefruit"
"sku26","Green Beans"
"sku27","green seedless grapes"
"sku28","Greens"
"sku29","Imani Low Fat Yoghurt"
"sku30","Josiah 2% Milk"
"sku31","Land O Lakes Butter"
"sku32","Mac apple"
"sku33","Marcelle Low Fat Yoghurt"
"sku34","Mixed Corn"
"sku35","Mr Peanut Can"
"sku36","Nature farm pizza"
"sku37","Nature farm yogurt"
"sku38","Nice Cola"
"sku39","No Frills Butter"
"sku40","Nyla Apple Juice"
"sku41","Organic aged prunes"
"sku42","Organic All natural Bread"
"sku43","Organic Almond Nuts"
"sku44","Organic apples"
"sku45","Organic banana"
"sku46","Organic blue berries"
"sku47","Organic Breakstone Whole Milk Cottage Cheese"
"sku48","Organic Brocolli Slaw"
"sku49","Organic california navels"
"sku50","Organic china apple"
"sku51","Organic Corn"
"sku52","Organic Cranberries"
"sku53","Organic dole pineapple"
"sku54","Organic grapefruit"
"sku55","Organic green apple"
"sku56","Organic green seeded grapes"
"sku57","Organic green seedless grapes"
"sku58","Organic Greens"
"sku59","Organic Imani 2% Milk"
"sku60","Organic Imani Low Fat Yoghurt"
"sku61","Organic Land O Lakes Butter"
"sku62","Organic mac apple"
"sku63","Organic mac pineapple"
"sku64","Organic Mr Peanut Can"
"sku65","Organic Nature farm pizza"
"sku66","Organic Peanuts"
"sku67","Organic pears"
"sku68","Organic red seeded grapes"
"sku69","Organic red seedless grapes"
"sku70","Organic Red Top Turnip"
"sku71","Organic Spinach"
"sku72","Organic Strawberries"
"sku73","Organic Tofu"
"sku74","Organic Tomatoes"
"sku75","Organic Veggie Tray"
"sku76","Organic watermelon"
"sku77","Organic Wonder Bread"
"sku78","PBR"
"sku79","Peanuts"
"sku80","Pears"
"sku81","Pink cool aid"
"sku82","Queen apple"
"sku83","Red seeded grapes"
"sku84","Red seedless grapes"
"sku85","Red top turnip"
"sku86","Sheba Smoothie"
"sku87","Spinach"
"sku88","Strawberries"
"sku89","Tofu"
"sku90","Tomatoes"
"sku91","Triple Washed spinach"
"sku92","Veggie Tray"
"sku93","Watermelon"
"sku94","Wheat Bread"
"sku95","Wonder Bread"
"sku96","Yellow Juice"
"sku97","Soda"
"sku98","Cereal"
"sku99","Frozen Dinners"
"sku100","Salty Snacks"
"sku101","Laundry Detergent"
"sku102","Eggs"
"sku103","Peanut Butter and Bread"
"sku104","Packaged Meats"
"sku105","Abalone"
"sku106","Açaí berries"
"sku107","Açaí juice"
"sku108","Acorn squash"
"sku109","Adzuki bean paste"
"sku110","Adzuki beans"
"sku111","Aged Japanese kurozu"
"sku112","Albacore tuna"
"sku113","Alcohol"
"sku114","Ale"
"sku115","Alfalfa sprouts"
"sku116","Algae"
"sku117","Almond milk"
"sku118","Almond paste"
"sku119","Almonds"
"sku120","Ancho chili powder"
"sku121","Anchovies"
"sku122","Anchovy paste"
"sku123","Angus beef"
"sku124","Apple juice"
"sku125","Apples"
"sku126","Apricots"
"sku127","Apricots, Japanese"
"sku128","Arborio rice"
"sku129","Arctic char"
"sku130","Organic Artichoke"
"sku131","Artichokes"
"sku132","Arugula"
"sku133","Asian greens"
"sku134","Asparagus"
"sku135","Asparagus, Chinese"
"sku136","Autumn crocus"
"sku137","Avocado oil"
"sku138","Avocados"
"sku139","Bacon"
"sku140","Balsamic vinegar"
"sku141","Bananas"
"sku142","Barbecued meat"
"sku143","Basil"
"sku144","Bean curd"
"sku145","Beef"
"sku146","Root Beer"
"sku147","Beets"
"sku148","Bell peppers"
"sku149","Bitter almond oil"
"sku150","Bitter cucumber"
"sku151","Bitter melon"
"sku152","Black beans"
"sku153","Black cumin"
"sku154","Black currants"
"sku155","Black or purple rice"
"sku156","Black pepper"
"sku157","Black tea"
"sku158","Blackberries"
"sku159","Blueberries"
"sku160","Bok choy"
"sku161","Boysenberries"
"sku162","Brazil nuts"
"sku163","Broccoli"
"sku164","Broccoli sprouts"
"sku165","Brown mustard"
"sku166","Brown rice"
"sku167","Brown rice syrup"
"sku168","Brussels sprouts"
"sku169","Buckwheat"
"sku170","Butter"
"sku171","Butternut squash"
"sku172","Cabbage"
"sku173","Canola oil"
"sku174","Cantaloupe"
"sku175","Carrots"
"sku176","Cashews"
"sku177","Cauliflower"
"sku178","Caviar"
"sku179","Celeriac"
"sku180","Celery"
"sku181","Celery seed"
"sku182","Chamomile"
"sku183","Cherries"
"sku184","Chicken"
"sku185","Chickpeas"
"sku186","Chilli peppers"
"sku187","Chives"
"sku188","Chocolate"
"sku189","Cilantro"
"sku190","Cinnamon"
"sku191","Clams"
"sku192","Coconut"
"sku193","Coconut oil"
"sku194","Coffee"
"sku195","Collard greens"
"sku196","Corn oil"
"sku197","Crab"
"sku198","Cranberries"
"sku199","Cream"
"sku200","Cucumbers"
"sku201","Cumin"
"sku202","Curcumin"
"sku203","Currants"
"sku204","Daidzein"
"sku205","Dal"
"sku206","Dill"
"sku207","Dried herring"
"sku208","Dried mackerel"
"sku209","Dry beans"
"sku210","Edamame"
"sku211","Escargot"
"sku212","Fennel"
"sku213","Fennel seed"
"sku214","Fermented bean paste"
"sku215","Fermented milk"
"sku216","Flaxseed"
"sku217","Flaxseed oil"
"sku218","Fried potatoes"
"sku219","Garbanzo beans"
"sku220","Garden cress"
"sku221","Garlic"
"sku222","Genistein"
"sku223","Ghee"
"sku224","Ginger"
"sku225","Grape seed oil"
"sku226","Grapes"
"sku227","Gravy"
"sku228","Green onions"
"sku229","Green papaya"
"sku230","Green peas"
"sku231","Green tea"
"sku232","Guacamole"
"sku233","Halibut"
"sku234","Ham"
"sku235","Herring"
"sku236","Holy basil"
"sku237","Honey"
"sku238","Honeydew melon"
"sku239","Horseradish"
"sku240","Hot peppers"
"sku241","Hummus"
"sku242","Indian mustard"
"sku243","Kale"
"sku244","Kefir"
"sku245","Kelp"
"sku246","Kidney beans"
"sku247","King mackerel"
"sku248","Kiwifruit"
"sku249","Kohlrabi"
"sku250","Kumquats"
"sku251","Lake trout"
"sku252","Lamb"
"sku253","Lard"
"sku254","Lavender"
"sku255","Leeks"
"sku256","Lemons"
"sku257","Lentils"
"sku258","Lettuce"
"sku259","Lima beans"
"sku260","Limes"
"sku261","Lingonberries"
"sku262","Liquor"
"sku263","Liver"
"sku264","Lobster"
"sku265","Loganberries"
"sku266","Long pepper"
"sku267","Low-fat yogurt"
"sku268","Macadamia nut oil"
"sku269","Macadamia nuts"
"sku270","Mackerel"
"sku271","Maitake mushrooms"
"sku272","Mangoes"
"sku273","Mangosteen"
"sku274","Margarine"
"sku275","Marionberrries"
"sku276","Maté"
"sku277","Mayonnaise"
"sku278","Melons"
"sku279","Mexican oregano"
"sku280","Mint"
"sku281","Mint tea"
"sku282","Mung beans"
"sku283","Mushrooms"
"sku284","Muskmelon"
"sku285","Mussels"
"sku286","Mustard"
"sku287","Mustard greens"
"sku288","Mustard oil"
"sku289","Mutton"
"sku290","Navy beans"
"sku291","Oatmeal"
"sku292","Oats"
"sku293","Octopus"
"sku294","Ohyo"
"sku295","Olive oil"
"sku296","Olives"
"sku297","Onions"
"sku298","Oranges"
"sku299","Oregano"
"sku300","Oysters"
"sku301","Papaya"
"sku302","Papaya seeds"
"sku303","Paprika"
"sku304","Parsley"
"sku305","Parsnips"
"sku306","Partially-hydrogen. oil"
"sku307","Passion fruit"
"sku308","Pâtés"
"sku309","Paw paw"
"sku310","Peaches"
"sku311","Peanut oil"
"sku312","Peas"
"sku313","Pecans"
"sku314","Peppermint"
"sku315","Persipan"
"sku316","Pesto sauce"
"sku317","Pickled papaya"
"sku318","Pickled watermel. rind"
"sku319","Pickles"
"sku320","Pineapple"
"sku321","Pinto beans"
"sku322","Pistachio nuts"
"sku323","Plantago"
"sku324","Plantains"
"sku325","Plums"
"sku326","Pomegranate juice"
"sku327","Pomegranates"
"sku328","Pork"
"sku329","Portobello mushrooms"
"sku330","Potatoes"
"sku331","Prunes"
"sku332","Pumpkin seeds"
"sku333","Pumpkins"
"sku334","Radicchio"
"sku335","Radish"
"sku336","Raisins"
"sku337","Rapeseed oil"
"sku338","Rapini"
"sku339","Raspberries"
"sku340","Red bean paste"
"sku341","Red beans"
"sku342","Red cabbage"
"sku343","Red currants"
"sku344","Red onions"
"sku345","Red pepper flakes"
"sku346","Red pepper paste"
"sku347","Red rice"
"sku348","Red spinach"
"sku349","Red wine vinegar"
"sku350","Reishi mushrooms"
"sku351","Rhubarb"
"sku352","Ribs"
"sku353","Rice"
"sku354","Rice bran"
"sku355","Rice bran oil"
"sku356","Rice wine vinegar"
"sku357","Risotto"
"sku358","Roast beef"
"sku359","Roasted almonds"
"sku360","Roasted pork"
"sku361","Roe"
"sku362","Rolled oats"
"sku363","Romaine lettuce"
"sku364","Rosemary"
"sku365","Rutabagas"
"sku366","Rye"
"sku367","Safflower oil"
"sku368","Saffron"
"sku369","Sage"
"sku370","Sage tea"
"sku371","Salmon, wild"
"sku372","Salt"
"sku373","Sardines"
"sku374","Sauerkraut"
"sku375","Sausages"
"sku376","Scallions"
"sku377","Scallops"
"sku378","Seaweed"
"sku379","Sesame oil"
"sku380","Sesame seeds"
"sku381","Shallots"
"sku382","Shellfish"
"sku383","Shiitake mushrooms"
"sku384","Shrimp"
"sku385","Smoked mackerel"
"sku386","Snails"
"sku387","Snow peas"
"sku388","Soba noodles"
"sku389","Soy infant formula"
"sku390","Soy milk"
"sku391","Soy protein bars"
"sku392","Soy protein isolate"
"sku393","Soybean curd"
"sku394","Soybean oil"
"sku395","Soybeans"
"sku396","Spaghetti squash"
"sku397","Spearmint"
"sku398","Split peas"
"sku399","Squash"
"sku400","Steak"
"sku401","String beans"
"sku402","Subtropical ginger"
"sku403","Sugar"
"sku404","Sugar beets"
"sku405","Sugar snap peas"
"sku406","Summer squash"
"sku407","Sunflower oil"
"sku408","Sunflower seeds"
"sku409","Sweet peas"
"sku410","Sweet potatoes"
"sku411","Tabasco sauce"
"sku412","Tahini"
"sku413","Tallow"
"sku414","Tangerines"
"sku415","Tartary buckwheat"
"sku416","Tea"
"sku417","Thyme"
"sku418","Tomato paste"
"sku419","Tropical ginger"
"sku420","Turkey"
"sku421","Turkey bacon"
"sku422","Turmeric"
"sku423","Turnip greens"
"sku424","Turnips"
"sku425","Veal"
"sku426","Vinegar"
"sku427","Wakame"
"sku428","Walnut oil"
"sku429","Walnuts"
"sku430","Wasabi"
"sku431","Watercress"
"sku432","Watermelon seeds"
"sku433","Well-done meat"
"sku434","Wheat bran"
"sku435","Wheat germ"
"sku436","Wheat grass"
"sku437","White beans"
"sku438","White bread"
"sku439","White button mush."
"sku440","White pepper"
"sku441","White tea"
"sku442","White vinegar"
"sku443","Whole wheat bread"
"sku444","Wild ginger"
"sku445","Wild rice"
"sku446","Win Candy"
"sku447","Winter squash"
"sku448","Yams"
"sku449","Yerba maté"
"sku450","Yogurt"
"sku451","Zucchini"
"sku452","Hamburger Buns"
"sku453","Hot Dog Buns"
"sku454","Crackers"
"sku455","Bisquick"
"sku456","Taco Shells"
"sku457","Flour"
"sku458","Spaghetti"
"sku459","Dried Beans"
"sku460","Noodles"
"sku461","Corn Flakes"
"sku462","Ground Beef"
"sku463","Hot Dogs"
"sku464","Fish Sticks"
"sku465","Lunch Meat"
"sku466","Sausage"
"sku467","Roast"
"sku468","Tomato"
"sku469","Potato"
"sku470","Onion"
"sku471","Cucumber"
"sku472","Green Pepper"
"sku473","Watermelon"
"sku474","Pet Food"
"sku475","Tuna"
"sku476","Margarine"
"sku477","Cheese"
"sku478","Kool-Aid"
"sku479","Soda Pop"
"sku480","Potato Chips"
"sku481","Tortilla Chips"
"sku482","Popcorn"
"sku483","Dip"
"sku484","Cookies"
"sku485","Ice Cream"
"sku486","Brownie Mix"
"sku487","Cake Mix"
"sku488","Jello"
"sku489","Instant Pudding"
"sku490","Macaroni and Cheese"
"sku491","Pot Pie"
"sku492","Frozen Dinner"
"sku493","Hamburger Helper"
"sku494","Pizza"
"sku495","Chili"
"sku496","Chicken Noodle Soup"
"sku497","Beef Stew"
"sku498","Vegetable Oil"
"sku499","Tomato Soup"
"sku500","Ketchup"
"sku501","Pepper"
"sku502","Peanut Butter"
"sku503","Jam"
"sku504","Taco Seasoning"
"sku505","Salad Dressing"
"sku506","Syrup"
"sku507","Pickle Relish"
"sku508","Deodorant"
"sku509","Shaving Cream"
"sku510","Toothbrush"
"sku511","Toothpaste"
"sku512","Soap"
"sku513","Shampoo"
"sku514","Hand Lotion"
"sku515","Toilet Paper"
"sku516","Kleenex"
"sku517","Paper Towels"
"sku518","Laundry Detergent"
"sku519","Cleanser"
"sku520","Sandwich Bags"
"sku521","Dishwashing Liquid"
"sku522","Juice"
"sku523","Hot Cocoa Mix"
"sku524","Glass Cleaner"
"sku525","Apples"
"sku526","Bacon"
"sku527","Bananas"
"sku528","Beef Stew"
"sku529","Bisquick"
"sku530","Bread"
"sku531","Brownie Mix"
"sku532","Cheese"
"sku533","Cucumber"
"sku534","Dried Beans"
"sku535","Frozen Dinner"
"sku536","Hamburger Helper"
"sku537","Hot Cocoa Mix"
"sku538","Hot Dog Buns"
"sku539","Hot Dogs"
"sku540","Ice Cream"
"sku541","Instant Pudding"
"sku542","Lunch Meat"
"sku543","Paper Towels"
"sku544","Pet Food"
"sku545","Salad Dressing"
"sku546","Sandwich Bags"
"sku547","Shampoo"
"sku548","Shaving Cream"
"sku549","Soda Pop"
"sku550","Taco Seasoning"
"sku551","Toilet Paper"
"sku552","Tomato"
"sku553","Tomato Soup"
"sku554","Toothbrush"
"sku555","Toothpaste"
"sku556","Tortilla Chips"
"sku557","Tuna"
"sku558","Vegetable Oil"
